6f2a29d4d	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_ZISK_DMA=ON
06d6ef114	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_ZISK_DMA=ON;MONAD_ZKVM_TABLE_ARG=ON
6fe5634e9	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_ZISK_DMA=ON;MONAD_ZKVM_TABLE_ARG=ON
6318098a9	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_ZISK_DMA=ON;MONAD_ZKVM_TABLE_ARG=ON;MONAD_ZKVM_FUSE=ON
279098207	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_ZISK_DMA=ON;MONAD_ZKVM_TABLE_ARG=ON;MONAD_ZKVM_FUSE=ON
89b8a6b15	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_OFFICIAL_PROFILE=ON;MONAD_ZKVM_GIT_COMMIT=89b8a6b15e324fd8af78449d2aa4b5fee612545e
b6bbc4a7f	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_OFFICIAL_PROFILE=ON;MONAD_ZKVM_GIT_COMMIT=b6bbc4a7f473eb7c10b1b9b472a41381aa997001
337a72ea2	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_OFFICIAL_PROFILE=ON;MONAD_ZKVM_GIT_COMMIT=337a72ea2a240022e1a82aeeb4e7bdc5432257ab
c59b7ab05	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_OFFICIAL_PROFILE=ON;MONAD_ZKVM_GIT_COMMIT=c59b7ab053d588c976007d44903b1a09ed442d7d
849209f80	RISCV_TOOLCHAIN_DIR={toolchain}	MONAD_ZKVM_CMAKE_DEFINES=MONAD_ZKVM_OFFICIAL_PROFILE=ON;MONAD_ZKVM_GIT_COMMIT=849209f80309237ae24c4164cb01a03b76dad55a
